timestamp,product,units_sold,weather,festival_events
2025-12-01 08:00:00,Danish,13,overcast,0
2025-12-01 08:00:00,Muffins,22,overcast,0
2025-12-01 08:00:00,Croissant,16,overcast,0
2025-12-01 08:00:00,Bagel,12,overcast,0
2025-12-01 08:00:00,Coffee,60,overcast,0
2025-12-01 08:00:00,Latte,41,overcast,0
2025-12-01 08:00:00,Iced Coffee,21,overcast,0
2025-12-01 12:00:00,Danish,19,overcast,0
2025-12-01 12:00:00,Muffins,36,overcast,0
2025-12-01 12:00:00,Croissant,25,overcast,0
2025-12-01 12:00:00,Bagel,15,overcast,0
2025-12-01 12:00:00,Coffee,83,overcast,0
2025-12-01 12:00:00,Latte,60,overcast,0
2025-12-01 12:00:00,Iced Coffee,21,overcast,0
2025-12-01 16:00:00,Danish,9,overcast,0
2025-12-01 16:00:00,Muffins,15,overcast,0
2025-12-01 16:00:00,Croissant,13,overcast,0
2025-12-01 16:00:00,Bagel,8,overcast,0
2025-12-01 16:00:00,Coffee,48,overcast,0
2025-12-01 16:00:00,Latte,33,overcast,0
2025-12-01 16:00:00,Iced Coffee,13,overcast,0
2025-12-02 08:00:00,Danish,14,rainy,0
2025-12-02 08:00:00,Muffins,19,rainy,0
2025-12-02 08:00:00,Croissant,19,rainy,0
2025-12-02 08:00:00,Bagel,10,rainy,0
2025-12-02 08:00:00,Coffee,74,rainy,0
2025-12-02 08:00:00,Latte,54,rainy,0
2025-12-02 08:00:00,Iced Coffee,13,rainy,0
2025-12-02 12:00:00,Danish,15,rainy,0
2025-12-02 12:00:00,Muffins,35,rainy,0
2025-12-02 12:00:00,Croissant,23,rainy,0
2025-12-02 12:00:00,Bagel,16,rainy,0
2025-12-02 12:00:00,Coffee,87,rainy,0
2025-12-02 12:00:00,Latte,65,rainy,0
2025-12-02 12:00:00,Iced Coffee,17,rainy,0
2025-12-02 16:00:00,Danish,9,rainy,0
2025-12-02 16:00:00,Muffins,17,rainy,0
2025-12-02 16:00:00,Croissant,13,rainy,0
2025-12-02 16:00:00,Bagel,8,rainy,0
2025-12-02 16:00:00,Coffee,42,rainy,0
2025-12-02 16:00:00,Latte,35,rainy,0
2025-12-02 16:00:00,Iced Coffee,10,rainy,0
2025-12-03 08:00:00,Danish,15,overcast,1
2025-12-03 08:00:00,Muffins,22,overcast,1
2025-12-03 08:00:00,Croissant,20,overcast,1
2025-12-03 08:00:00,Bagel,11,overcast,1
2025-12-03 08:00:00,Coffee,52,overcast,1
2025-12-03 08:00:00,Latte,49,overcast,1
2025-12-03 08:00:00,Iced Coffee,20,overcast,1
2025-12-03 12:00:00,Danish,29,overcast,1
2025-12-03 12:00:00,Muffins,63,overcast,1
2025-12-03 12:00:00,Croissant,35,overcast,1
2025-12-03 12:00:00,Bagel,24,overcast,1
2025-12-03 12:00:00,Coffee,100,overcast,1
2025-12-03 12:00:00,Latte,100,overcast,1
2025-12-03 12:00:00,Iced Coffee,33,overcast,1
2025-12-03 16:00:00,Danish,9,overcast,1
2025-12-03 16:00:00,Muffins,16,overcast,1
2025-12-03 16:00:00,Croissant,12,overcast,1
2025-12-03 16:00:00,Bagel,9,overcast,1
2025-12-03 16:00:00,Coffee,49,overcast,1
2025-12-03 16:00:00,Latte,32,overcast,1
2025-12-03 16:00:00,Iced Coffee,14,overcast,1
2025-12-04 08:00:00,Danish,15,overcast,0
2025-12-04 08:00:00,Muffins,19,overcast,0
2025-12-04 08:00:00,Croissant,15,overcast,0
2025-12-04 08:00:00,Bagel,11,overcast,0
2025-12-04 08:00:00,Coffee,53,overcast,0
2025-12-04 08:00:00,Latte,52,overcast,0
2025-12-04 08:00:00,Iced Coffee,20,overcast,0
2025-12-04 12:00:00,Danish,18,overcast,0
2025-12-04 12:00:00,Muffins,36,overcast,0
2025-12-04 12:00:00,Croissant,24,overcast,0
2025-12-04 12:00:00,Bagel,13,overcast,0
2025-12-04 12:00:00,Coffee,82,overcast,0
2025-12-04 12:00:00,Latte,70,overcast,0
2025-12-04 12:00:00,Iced Coffee,26,overcast,0
2025-12-04 16:00:00,Danish,12,overcast,0
2025-12-04 16:00:00,Muffins,15,overcast,0
2025-12-04 16:00:00,Croissant,11,overcast,0
2025-12-04 16:00:00,Bagel,8,overcast,0
2025-12-04 16:00:00,Coffee,43,overcast,0
2025-12-04 16:00:00,Latte,37,overcast,0
2025-12-04 16:00:00,Iced Coffee,15,overcast,0
2025-12-05 08:00:00,Danish,12,sunny,1
2025-12-05 08:00:00,Muffins,21,sunny,1
2025-12-05 08:00:00,Croissant,17,sunny,1
2025-12-05 08:00:00,Bagel,10,sunny,1
2025-12-05 08:00:00,Coffee,47,sunny,1
2025-12-05 08:00:00,Latte,39,sunny,1
2025-12-05 08:00:00,Iced Coffee,35,sunny,1
2025-12-05 12:00:00,Danish,27,sunny,1
2025-12-05 12:00:00,Muffins,58,sunny,1
2025-12-05 12:00:00,Croissant,38,sunny,1
2025-12-05 12:00:00,Bagel,23,sunny,1
2025-12-05 12:00:00,Coffee,100,sunny,1
2025-12-05 12:00:00,Latte,100,sunny,1
2025-12-05 12:00:00,Iced Coffee,57,sunny,1
2025-12-05 16:00:00,Danish,10,sunny,1
2025-12-05 16:00:00,Muffins,15,sunny,1
2025-12-05 16:00:00,Croissant,12,sunny,1
2025-12-05 16:00:00,Bagel,7,sunny,1
2025-12-05 16:00:00,Coffee,41,sunny,1
2025-12-05 16:00:00,Latte,31,sunny,1
2025-12-05 16:00:00,Iced Coffee,20,sunny,1
2025-12-06 08:00:00,Danish,18,sunny,0
2025-12-06 08:00:00,Muffins,33,sunny,0
2025-12-06 08:00:00,Croissant,23,sunny,0
2025-12-06 08:00:00,Bagel,15,sunny,0
2025-12-06 08:00:00,Coffee,75,sunny,0
2025-12-06 08:00:00,Latte,67,sunny,0
2025-12-06 08:00:00,Iced Coffee,40,sunny,0
2025-12-06 12:00:00,Danish,26,sunny,0
2025-12-06 12:00:00,Muffins,48,sunny,0
2025-12-06 12:00:00,Croissant,29,sunny,0
2025-12-06 12:00:00,Bagel,22,sunny,0
2025-12-06 12:00:00,Coffee,90,sunny,0
2025-12-06 12:00:00,Latte,91,sunny,0
2025-12-06 12:00:00,Iced Coffee,56,sunny,0
2025-12-06 16:00:00,Danish,15,sunny,0
2025-12-06 16:00:00,Muffins,19,sunny,0
2025-12-06 16:00:00,Croissant,20,sunny,0
2025-12-06 16:00:00,Bagel,11,sunny,0
2025-12-06 16:00:00,Coffee,51,sunny,0
2025-12-06 16:00:00,Latte,38,sunny,0
2025-12-06 16:00:00,Iced Coffee,33,sunny,0
2025-12-07 08:00:00,Danish,21,sunny,0
2025-12-07 08:00:00,Muffins,25,sunny,0
2025-12-07 08:00:00,Croissant,25,sunny,0
2025-12-07 08:00:00,Bagel,15,sunny,0
2025-12-07 08:00:00,Coffee,78,sunny,0
2025-12-07 08:00:00,Latte,53,sunny,0
2025-12-07 08:00:00,Iced Coffee,46,sunny,0
2025-12-07 12:00:00,Danish,24,sunny,0
2025-12-07 12:00:00,Muffins,51,sunny,0
2025-12-07 12:00:00,Croissant,28,sunny,0
2025-12-07 12:00:00,Bagel,19,sunny,0
2025-12-07 12:00:00,Coffee,83,sunny,0
2025-12-07 12:00:00,Latte,99,sunny,0
2025-12-07 12:00:00,Iced Coffee,60,sunny,0
2025-12-07 16:00:00,Danish,14,sunny,0
2025-12-07 16:00:00,Muffins,23,sunny,0
2025-12-07 16:00:00,Croissant,20,sunny,0
2025-12-07 16:00:00,Bagel,12,sunny,0
2025-12-07 16:00:00,Coffee,57,sunny,0
2025-12-07 16:00:00,Latte,40,sunny,0
2025-12-07 16:00:00,Iced Coffee,28,sunny,0
2025-12-08 08:00:00,Danish,16,overcast,0
2025-12-08 08:00:00,Muffins,24,overcast,0
2025-12-08 08:00:00,Croissant,18,overcast,0
2025-12-08 08:00:00,Bagel,11,overcast,0
2025-12-08 08:00:00,Coffee,56,overcast,0
2025-12-08 08:00:00,Latte,49,overcast,0
2025-12-08 08:00:00,Iced Coffee,21,overcast,0
2025-12-08 12:00:00,Danish,20,overcast,0
2025-12-08 12:00:00,Muffins,35,overcast,0
2025-12-08 12:00:00,Croissant,23,overcast,0
2025-12-08 12:00:00,Bagel,13,overcast,0
2025-12-08 12:00:00,Coffee,66,overcast,0
2025-12-08 12:00:00,Latte,77,overcast,0
2025-12-08 12:00:00,Iced Coffee,24,overcast,0
2025-12-08 16:00:00,Danish,9,overcast,0
2025-12-08 16:00:00,Muffins,14,overcast,0
2025-12-08 16:00:00,Croissant,14,overcast,0
2025-12-08 16:00:00,Bagel,7,overcast,0
2025-12-08 16:00:00,Coffee,40,overcast,0
2025-12-08 16:00:00,Latte,35,overcast,0
2025-12-08 16:00:00,Iced Coffee,15,overcast,0
2025-12-09 08:00:00,Danish,15,overcast,0
2025-12-09 08:00:00,Muffins,19,overcast,0
2025-12-09 08:00:00,Croissant,19,overcast,0
2025-12-09 08:00:00,Bagel,11,overcast,0
2025-12-09 08:00:00,Coffee,56,overcast,0
2025-12-09 08:00:00,Latte,49,overcast,0
2025-12-09 08:00:00,Iced Coffee,20,overcast,0
2025-12-09 12:00:00,Danish,19,overcast,0
2025-12-09 12:00:00,Muffins,33,overcast,0
2025-12-09 12:00:00,Croissant,22,overcast,0
2025-12-09 12:00:00,Bagel,13,overcast,0
2025-12-09 12:00:00,Coffee,71,overcast,0
2025-12-09 12:00:00,Latte,64,overcast,0
2025-12-09 12:00:00,Iced Coffee,22,overcast,0
2025-12-09 16:00:00,Danish,12,overcast,0
2025-12-09 16:00:00,Muffins,15,overcast,0
2025-12-09 16:00:00,Croissant,15,overcast,0
2025-12-09 16:00:00,Bagel,9,overcast,0
2025-12-09 16:00:00,Coffee,48,overcast,0
2025-12-09 16:00:00,Latte,34,overcast,0
2025-12-09 16:00:00,Iced Coffee,14,overcast,0
2025-12-10 08:00:00,Danish,14,overcast,0
2025-12-10 08:00:00,Muffins,19,overcast,0
2025-12-10 08:00:00,Croissant,19,overcast,0
2025-12-10 08:00:00,Bagel,11,overcast,0
2025-12-10 08:00:00,Coffee,50,overcast,0
2025-12-10 08:00:00,Latte,48,overcast,0
2025-12-10 08:00:00,Iced Coffee,17,overcast,0
2025-12-10 12:00:00,Danish,20,overcast,0
2025-12-10 12:00:00,Muffins,36,overcast,0
2025-12-10 12:00:00,Croissant,25,overcast,0
2025-12-10 12:00:00,Bagel,14,overcast,0
2025-12-10 12:00:00,Coffee,63,overcast,0
2025-12-10 12:00:00,Latte,78,overcast,0
2025-12-10 12:00:00,Iced Coffee,23,overcast,0
2025-12-10 16:00:00,Danish,12,overcast,0
2025-12-10 16:00:00,Muffins,18,overcast,0
2025-12-10 16:00:00,Croissant,14,overcast,0
2025-12-10 16:00:00,Bagel,8,overcast,0
2025-12-10 16:00:00,Coffee,43,overcast,0
2025-12-10 16:00:00,Latte,38,overcast,0
2025-12-10 16:00:00,Iced Coffee,13,overcast,0
2025-12-11 08:00:00,Danish,12,sunny,0
2025-12-11 08:00:00,Muffins,21,sunny,0
2025-12-11 08:00:00,Croissant,20,sunny,0
